#DS,type,GT,NJobs,xs,Sample,SubSample,Dir,NTupler,NTupleVersion,Status
/TBarToDilepton_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,1.17,SingleTop,TBarToDilepton-tW-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TBarToDilepton_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TBarToLeptons_s-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,0.57,SingleTop,TBarToLeptons_s-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TBarToLeptons_s-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TBarToLeptons_t-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,9.95,SingleTop,TBarToLeptons_t-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TBarToLeptons_t-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TBarToThadWlep_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,2.43,SingleTop,TBarToThadWlep_tW-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TBarToThadWlep_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TBarToTlepWhad_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,2.43,SingleTop,TBarToTlepWhad_tW-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TBarToTlepWhad_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TToDilepton_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,1.16,SingleTop,TToDilepton_tW-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TToDilepton_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TToLeptons_s-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,1.23,SingleTop,TToLeptons_s-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TToLeptons_s-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TToLeptons_t-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,18.27,SingleTop,TToLeptons_t-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TToLeptons_t-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TToThadWlep_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,2.43,SingleTop,TToThadWlep_tW-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TToThadWlep_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
/TToTlepWhad_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,FullSim,START53_V7G,-1,2.43,SingleTop,TToTlepWhad_tW-ch,/scratch/hh/dust/naf/cms/user/sahin/nTuple13_v1/mc/TToTlepWhad_tW-channel-DR_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/,Ozgur,NTuple13_v1,DONE
